Time(S), motorSpeed (%), Actual Speed (m/s),Force
17.51, 6.0, 2.1, 0.0
17.61, 8.0, 2.8, 0.0
17.71, 10.0, 3.5, 0.0
17.82, 12.0, 4.2, 0.0
17.92, 14.0, 4.9, 0.0
18.02, 16.0, 5.6, 0.0
18.12, 18.0, 6.3, 0.0
18.22, 20.0, 7.0, 0.0209916
18.32, 22.0, 7.7, 0.0069972
18.43, 24.0, 8.4, 0.0209916
18.53, 26.0, 9.1, 0.0279888
18.63, 28.0, 9.8, 0.0279888
18.73, 30.0, 10.5, 0.0419832
18.83, 32.0, 11.2, 0.0489804
18.94, 34.0, 11.9, 0.0279888
19.04, 36.0, 12.6, 0.0559776
19.14, 38.0, 13.3, 0.0629748
19.24, 40.0, 14.0, 0.0769692
19.34, 42.0, 14.7, 0.0559776
19.45, 44.0, 15.4, 0.0769692
19.55, 46.0, 16.1, 0.069972
19.65, 48.0, 16.8, 0.0839664
19.75, 50.0, 17.5, 0.104958
19.85, 52.0, 18.2, 0.1189524
19.96, 54.0, 18.9, 0.1189524
20.06, 56.0, 19.6, 0.139944
20.16, 58.0, 20.3, 0.139944
20.26, 60.0, 21.0, 0.1539384
20.36, 62.0, 21.7, 0.139944
20.46, 64.0, 22.4, 0.1679328
20.57, 66.0, 23.1, 0.17493
20.67, 68.0, 23.8, 0.1819272
20.77, 70.0, 24.5, 0.1959216
20.87, 72.0, 25.2, 0.2029188
20.97, 74.0, 25.9, 0.2169132
21.08, 76.0, 26.6, 0.17493
21.18, 78.0, 27.3, 0.244902
21.28, 80.0, 28.0, 0.209916
21.38, 82.0, 28.7, 0.1959216
21.48, 84.0, 29.4, 0.2868852
21.59, 86.0, 30.1, 0.2658936
21.69, 88.0, 30.8, 0.3008796
21.79, 90.0, 31.5, 0.2658936
21.89, 92.0, 32.2, 0.2239104
21.99, 94.0, 32.9, 0.244902
22.1, 96.0, 33.6, 0.279888
22.2, 98.0, 34.3, 0.2169132
22.3, 100.0, 35.0, 0.2588964
22.4, 100.0, 35.0, 0.244902
22.51, 100.0, 35.0, 0.1889244
22.61, 100.0, 35.0, 0.209916
22.71, 100.0, 35.0, 0.2239104
22.81, 100.0, 35.0, 0.2518992
22.91, 100.0, 35.0, 0.2309076
23.01, 100.0, 35.0, 0.2588964
23.11, 100.0, 35.0, 0.1889244
23.21, 100.0, 35.0, 0.209916
23.32, 100.0, 35.0, 0.2029188
23.42, 100.0, 35.0, 0.209916
23.52, 100.0, 35.0, 0.2728908
23.62, 100.0, 35.0, 0.2728908
23.72, 100.0, 35.0, 0.244902
23.82, 100.0, 35.0, 0.1889244
23.92, 100.0, 35.0, 0.1819272
24.03, 100.0, 35.0, 0.1819272
24.13, 100.0, 35.0, 0.2029188
24.23, 100.0, 35.0, 0.2518992
24.33, 100.0, 35.0, 0.279888
24.43, 100.0, 35.0, 0.2239104
24.53, 100.0, 35.0, 0.244902
24.63, 100.0, 35.0, 0.1679328
24.74, 100.0, 35.0, 0.2169132
24.84, 100.0, 35.0, 0.2309076
24.94, 100.0, 35.0, 0.2379048
25.04, 100.0, 35.0, 0.279888
25.14, 100.0, 35.0, 0.2728908
25.24, 100.0, 35.0, 0.244902
25.34, 100.0, 35.0, 0.2239104
25.44, 100.0, 35.0, 0.1959216
25.55, 100.0, 35.0, 0.1959216
25.65, 100.0, 35.0, 0.2029188
25.75, 100.0, 35.0, 0.244902
25.85, 100.0, 35.0, 0.2728908
25.95, 100.0, 35.0, 0.2379048
26.05, 100.0, 35.0, 0.1679328
26.15, 100.0, 35.0, 0.1889244
26.26, 100.0, 35.0, 0.1959216
26.36, 100.0, 35.0, 0.244902
26.46, 100.0, 35.0, 0.2658936
26.56, 100.0, 35.0, 0.2588964
26.66, 100.0, 35.0, 0.244902
26.76, 100.0, 35.0, 0.1959216
26.86, 100.0, 35.0, 0.17493
26.96, 100.0, 35.0, 0.2169132
27.07, 100.0, 35.0, 0.1819272
27.17, 100.0, 35.0, 0.2728908
27.27, 100.0, 35.0, 0.2588964
27.37, 100.0, 35.0, 0.279888
27.47, 100.0, 35.0, 0.2029188
27.57, 100.0, 35.0, 0.17493
27.67, 100.0, 35.0, 0.17493
27.78, 100.0, 35.0, 0.1679328
27.88, 100.0, 35.0, 0.2309076
27.98, 100.0, 35.0, 0.279888
28.08, 100.0, 35.0, 0.2518992
28.18, 100.0, 35.0, 0.2518992
28.28, 100.0, 35.0, 0.17493
28.38, 100.0, 35.0, 0.1679328
28.48, 100.0, 35.0, 0.1679328
28.59, 100.0, 35.0, 0.1889244
28.69, 100.0, 35.0, 0.2518992
28.79, 100.0, 35.0, 0.2309076
28.89, 100.0, 35.0, 0.2658936
28.99, 100.0, 35.0, 0.1819272
29.09, 100.0, 35.0, 0.139944
29.19, 100.0, 35.0, 0.1679328
29.3, 100.0, 35.0, 0.17493
29.4, 100.0, 35.0, 0.2029188
29.5, 100.0, 35.0, 0.2868852
29.6, 100.0, 35.0, 0.2239104
29.7, 100.0, 35.0, 0.1959216
29.8, 100.0, 35.0, 0.1609356
29.9, 100.0, 35.0, 0.1329468
30.01, 100.0, 35.0, 0.209916
30.11, 100.0, 35.0, 0.2169132
30.21, 100.0, 35.0, 0.2588964
30.31, 100.0, 35.0, 0.2658936
30.41, 100.0, 35.0, 0.209916
30.51, 100.0, 35.0, 0.1679328
30.61, 100.0, 35.0, 0.139944
30.71, 100.0, 35.0, 0.2029188
30.82, 100.0, 35.0, 0.1959216
30.92, 100.0, 35.0, 0.209916
31.02, 100.0, 35.0, 0.2868852
31.12, 100.0, 35.0, 0.2239104
31.22, 100.0, 35.0, 0.244902
31.32, 100.0, 35.0, 0.2169132
31.42, 100.0, 35.0, 0.1819272
31.53, 100.0, 35.0, 0.1959216
31.63, 100.0, 35.0, 0.2239104
31.73, 100.0, 35.0, 0.209916
31.83, 100.0, 35.0, 0.244902
31.93, 100.0, 35.0, 0.2518992
32.03, 100.0, 35.0, 0.2169132
32.13, 100.0, 35.0, 0.1889244
32.23, 100.0, 35.0, 0.1889244
